t,x
0,0
0.01,0
0.02,0.142894854570642
0.03,0.244737379075517
0.04,0.326172746619234
0.05,0.336281316410522
0.06,0.442264373011932
0.07,0.346932198027679
0.08,0.420466018658802
0.09,0.425012738098255
0.1,0.525029967211527
0.11,0.568640361321836
0.12,0.633654327413784
0.13,0.774361656181623
0.14,0.83207408270918
0.15,1.05151577893581
0.16,1.14039546386788
0.17,1.24499458273463
0.18,1.25719749991534
0.19,1.49904517783334
0.2,1.54354362943215
0.21,1.651624442271
0.22,1.74825365570483
0.23,1.8245203264241
0.24,1.85738698234267
0.25,1.8825387932034
0.26,1.94500654399207
0.27,2.06926700206932
0.28,2.07256758039229
0.29,2.04021579106091
0.3,1.89245960601008
0.31,1.9439807176656
0.32,2.16762829944379
0.33,2.20038683614165
0.34,2.29782785201616
0.35,2.37289023004705
0.36,2.38672170170693
0.37,2.543521631686
0.38,2.52886428887088
0.39,2.85978247826661
0.4,3.00619346870491
0.41,3.08453685248404
0.42,3.19354368778694
0.43,3.55137843342322
0.44,3.52427562812942
0.45,3.58357093103088
0.46,3.79584519660247
0.47,3.83545307795508
0.48,4.00825004935344
0.49,4.10167553331885
0.5,4.35225870382782
0.51,4.4860516226435
0.52,4.56123954778533
0.53,4.64854846375442
0.54,4.73177322415031
0.55,4.8045526364061
0.56,4.83651462060451
0.57,4.98698878772732
0.58,5.01072297154639
0.59,4.96682276291666
0.6,5.08920415669266
0.61,5.08805795456748
0.62,5.17607813983238
0.63,5.29861851892756
0.64,5.42647192977435
0.65,5.65065548545824
0.66,5.65655794242863
0.67,5.916838589686
0.68,6.0261010937714
0.69,6.10470167458485
0.7,6.13930228178813
0.71,6.14286125460406
0.72,6.32275842856922
0.73,6.6102147502542
0.74,6.83814743850671
0.75,6.79972231292736
0.76,7.03673318218372
0.77,7.11160616337043
0.78,7.17314641586906
0.790000000000001,7.30590288428321
0.8,7.32980015966946
0.810000000000001,7.43438572977565
0.82,7.60244977225483
0.83,7.79327504818038
0.84,7.86585759551461
0.850000000000001,7.90749367387722
0.860000000000001,8.10537123105194
0.87,8.21821979119201
0.88,8.54684616849726
0.890000000000001,8.60716006565376
0.900000000000001,8.73529931426658
0.910000000000001,8.72455867823046
0.92,8.80565301788231
0.930000000000001,8.85328483680083
0.940000000000001,8.93833430839125
0.950000000000001,9.22860832650585
0.960000000000001,9.32728685574433
0.970000000000001,9.39629785900245
0.980000000000001,9.21979063817915
0.990000000000001,9.224440834292
1,9.25748692971169
1.01,9.21204801375492
1.02,9.35439637501111
1.03,9.3227924133374
1.04,9.50788682089768
1.05,9.92480725010791
1.06,10.0911093534377
1.07,10.2617418366751
1.08,10.4353659583462
1.09,10.4679148953685
1.1,10.6823641237397
1.11,10.8061938628798
1.12,10.9661352807799
1.13,11.0643194676775
1.14,11.0306519910775
1.15,11.0889436297416
1.16,11.1832016700684
1.17,11.2849207232995
1.18,11.4389939320273
1.19,11.5085120349334
1.2,11.484306814892
1.21,11.7133932726217
1.22,11.7144136044011
1.23,11.865918389652
1.24,11.9002116272149
1.25,12.0723563879389
1.26,12.2778304088986
1.27,12.3346227149217
1.28,12.3868328275871
1.29,12.5569825120722
1.3,12.6956858437265
1.31,12.8530302421287
1.32,12.78362847116
1.33,12.9745044247285
1.34,13.1368516990271
1.35,13.1760984996107
1.36,13.2245009156614
1.37,13.3127622367261
1.38,13.5591801011856
1.39,13.6597203389758
1.4,13.7163502860491
1.41,13.8063667026661
1.42,14.0348392986184
1.43,14.066921281892
1.44,14.222036572425
1.45,14.3516658780073
1.46,14.468039664124
1.47,14.4865724202645
1.48,14.4069948807299
1.49,14.5828483885489
1.5,14.6198223879712
1.51,14.6750838092752
1.52,14.7604472086727
1.53,14.8266856430769
1.54,15.0856527821145
1.55,15.3384049048721
1.56,15.3592311744108
1.57,15.3907106143437
1.58,15.3538744813581
1.59,15.4601909325221
1.6,15.4494316320692
1.61,15.541041847128
1.62,15.4688734336747
1.63,15.6641595916803
1.64,15.8566007361946
1.65,15.9579829336815
1.66,16.0413844694374
1.67,15.9466539683958
1.68,16.231697323445
1.69,16.5087283476675
1.7,16.4986205459543
1.71,16.4909737262861
1.72,16.5582435858021
1.73,16.6172994875121
1.74,16.5998335266807
1.75,16.743527035331
1.76,16.8383138719113
1.77,16.8765855918975
1.78,17.0291746040717
1.79,17.1144051610214
1.8,17.2832246436295
1.81,17.3038546021957
1.82,17.4295789017758
1.83,17.4543115852254
1.84,17.6043429797577
1.85,17.9137965005806
1.86,18.3548446656587
1.87,18.5785285986482
1.88,18.7156135612332
1.89,18.8051565948469
1.9,18.8186786645112
1.91,18.8233860155507
1.92,18.8825217295242
1.93,18.9955594962965
1.94,19.2358435709773
1.95,19.3293390550066
1.96,19.3276355245331
1.97,19.5025622388183
1.98,19.6642521691899
1.99,19.7215292480685
2,19.8371344903183
2.01,20.0593474248526
2.02,20.2801477504116
2.03,20.6061543744293
2.04,20.639965860615
2.05,20.8177188303074
2.06,20.7470200724794
2.07,20.7562100619423
2.08,20.6057493475003
2.09,20.4952076655574
2.1,20.5667431041399
2.11,20.4804941319597
2.12,20.4989325317827
2.13,20.6355297482498
2.14,20.7029404615692
2.15,21.0885574869813
2.16,21.2181687204324
2.17,21.2107796071261
2.18,21.339517297903
2.19,21.4164885250174
2.2,21.3925258154578
2.21,21.5199930040143
2.22,21.5765876982809
2.23,21.7118879521846
2.24,21.5866799606572
2.25,21.6673450479042
2.26,21.9121004431544
2.27,22.0309707844566
2.28,22.1491273472562
2.29,22.1913414463711
2.29999999999999,22.2735322054055
2.30999999999999,22.2470803758721
2.31999999999999,22.4728982692904
2.32999999999999,22.4892110211903
2.33999999999999,22.6929778551328
2.34999999999999,22.7135074885968
2.35999999999999,22.7165677808672
2.36999999999999,22.9118816583017
2.37999999999999,22.9005594828931
2.38999999999999,22.7807195688085
2.39999999999999,22.8340715517426
2.40999999999999,23.0196432707796
2.41999999999999,23.1224154887617
2.42999999999999,23.217549156765
2.43999999999999,23.3270958687083
2.44999999999999,23.4285191242699
2.45999999999999,23.5345892097485
2.46999999999999,23.6425723715525
2.47999999999999,23.7581235096084
2.48999999999999,23.8735085861764
2.49999999999999,23.9858152990824
2.50999999999999,24.1145152965588
2.51999999999999,24.23673199682
2.52999999999999,24.347926242977
2.53999999999999,24.4475994948628
2.54999999999999,24.5322916079167
2.55999999999999,24.6284994762226
2.56999999999999,24.7120246738943
2.57999999999999,24.8138029628077
2.58999999999999,24.920963865728
2.59999999999999,25.0359566056164
2.60999999999999,25.1398314539825
2.61999999999999,25.2431991652556
2.62999999999999,25.3278940428584
2.63999999999999,25.3982414504864
2.64999999999999,25.4886826406907
2.65999999999999,25.5865510100881
2.66999999999999,25.6892971833649
2.67999999999999,25.7853582974772
2.68999999999999,25.885534266409
2.69999999999999,25.9885575637848
2.70999999999999,26.0851018308169
2.71999999999999,26.1742273631352
2.72999999999999,26.2557174135454
2.73999999999999,26.3416516180113
2.74999999999999,26.4315496402405
2.75999999999999,26.5326231935814
2.76999999999998,26.6428995152871
2.77999999999998,26.7640074077752
2.78999999999998,26.8655290937009
2.79999999999998,26.9371847465783
2.80999999999998,27.0280150066738
2.81999999999998,27.1309582571819
2.82999999999998,27.2440963536367
2.83999999999998,27.3511506168603
2.84999999999998,27.4617504087261
2.85999999999998,27.5651124097924
2.86999999999998,27.6707125140152
2.87999999999998,27.7614857223608
2.88999999999998,27.8452570964625
