Team,Length,Width,Area
JACS,44.45,12.7,403.225
JACS,64.008,13.97,624.99875
JACS,35.814,7.62,231.870504
JACS,58.42,11.43,524.1925
JACS,50.8,8.382,423.38625
JACS,57.15,12.7,3045.1552
JACS,60.325,31.75,1522.5776
JACS,44.45,7.62,1851.6092
JACS,50.8,12.7,1774.19
JACS,38.1,12.7,1522.5776
JACS,44.704,15.24,2283.8664
JACS,70.612,14.478,2180.6408
JACS,72.898,13.462,2793.5428
JACS,76.2,12.7,0
JACS,79.756,14.986,1195.223416
JACS,89.154,19.05,1698.3837
JACS,57.912,13.97,809.03064
JACS,69.088,17.018,1175.739584
JACS,80.01,14.986,1199.02986
JACS,57.912,8.89,514.83768
JACS,72.898,16.764,1222.062072
JACS,89.916,17.018,1530.190488
JACS,109.982,19.05,2095.1571
JACS,108.966,19.812,2158.834392
JACS,57.15,15.875,414.5657031
JACS,27.51582,7.9375,161.29
JACS,26.9875,6.35,183.9714063
JACS,52.3875,6.35,282.2575
JACS,46.99,7.9375,186.741562
JACS,38.1,8.4582,202.2425391
JACS,38.1,6.35,202.7325694
JACS,41.275,12.7,322.58
JACS,47.625,8.4582,332.660625
JACS,44.45,9.525,201.6125
JACS,44.45,6.35,161.29
JACS,37.846,6.35,240.3221
JACS,30.988,6.096,188.902848
JACS,29.21,6.35,185.4835
JACS,29.464,7.874,231.999536
JACS,35.56,8.89,316.1284
JACS,38.608,7.62,294.19296
JACS,44.704,9.906,442.837824
JACS,39.37,7.112,279.99944
JACS,32.512,6.858,222.967296
JACS,38.354,7.112,272.773648
JACS,48.26,11.43,403.225
JACS,46.99,11.938,423.38625
JACS,45.72,11.684,383.06375
JACS,35.56,7.874,322.58
JACS,43.688,11.938,403.225
JACS,38.1,11.1125,385.5839063
JACS,35.98333316,10.58333316,322.58
JACS,47.625,7.62,211.693125
JACS,31.75,7.9375,262.09625
JACS,44.45,8.466666582,268.8166624
JACS,53.975,9.525,483.87
JACS,41.275,7.9375,302.41875
JACS,53.975,9.525,483.87
JACS,57.15,7.357618,362.9025
JACS,38.1,7.9375,215.0533333
JACS,36.5125,6.35,370.967
JACS,50.8,12.7,645.16
JACS,45.72,6.985,319.3542
JACS,38.1,3.81,106.4514
JACS,78.74,13.335,806.45
JACS,57.15,13.97,745.1598
JACS,53.34,12.27666667,654.8374
JACS,53.34,11.43,609.6762
JACS,36.83,12.7,451.612
RITE,132,54,5220
RITE,186,114,14292
RITE,126,42,3852
RITE,72,30,1908
RITE,168,96,10260
RITE,78,48,2628
RITE,126,108,8388
RITE,162,72,7956
RITE,150,78,7596
RITE,102,48,3996
RITE,174,78,10836
RITE,120,54,5400
RITE,132,66,7272
RITE,138,48,5328
RITE,72,42,2340
RITE,72,36,1548
RITE,63,42,2340
RITE,174,102,12384
RITE,126,66,6300
RITE,72,60,1296
RITE,102,66,1728
RITE,84,48,2952
RITE,102,48,3384
RITE,114,78,5400
RITE,114,72,6084
RITE,114,72,5580
RITE,72,30,1656
RITE,66,36,1764
RITE,90,60,3240
RITE,114,72,5724
RITE,162,108,9216
RITE,162,72,9684
RITE,120,48,4716
RITE,114,48,3744
RITE,120,46,4320
RITE,162,54,6948
RITE,114,42,3888
RITE,84,30,1836
RITE,132,60,5040
RITE,120,66,5256
RITE,96,66,4824
RITE,120,54,5112
RITE,180,114,12636
RITE,162,102,10620
RITE,114,60,4428
RITE,162,96,6768
RITE,96,30,2412
RITE,114,66,4680
RITE,102,54,3816
RITE,144,78,7020
RITE,90,48,2844
RITE,84,48,3060
RITE,126,72,4896
RITE,150,72,6444
RITE,66,30,1368
Ummm,47,30,32.146875
Ummm,35,18,23.8125
Ummm,32,17,16.271875
Ummm,46,22,27.78125
Ummm,48,28,23.8125
Ummm,36,22,20.6375
Ummm,35,18,20.240625
Ummm,38,19,19.446875
Ummm,36,19,19.05
Ummm,32,16,15.08125
Ummm,26,12,9.128125
Ummm,18,9,5.159375
Ummm,19,8,436.5625
Ummm,24,12,8.73125
Ummm,20,9,5.953125
Ummm,22,10,8.334375
Ummm,21,10,7.540625
Ummm,16,8,4.7625
Ummm,15,9,3.96875
Ummm,24,13,7.9375
Ummm,31,20,18.25625
Ummm,48,27,28.575
Ummm,38,21,19.446875
Ummm,39,19,16.271875
Ummm,36,19,15.478125
Ummm,29,17,14.684375
Ummm,35,15,16.271875
Ummm,31,16,14.684375
Ummm,36,22,19.446875
Ummm,28,15,15.08125
Ummm,29,18,14.684375
Ummm,20,9,5.159375
Ummm,28,14,12.303125
Ummm,25,10,8.334375
Ummm,27,16,4.365625
Ummm,27,27,9.128125
Ummm,33,17,14.684375
Ummm,22,12,7.540625
Ummm,23,11,8.334375
Ummm,19,8,4.7625
Ummm,48,26,32.54375
Ummm,34,18,16.271875
Ummm,39,22,21.43125
Ummm,40,21,17.4625
Ummm,37,18,17.859375
Ummm,32,20,20.6375
Ummm,43,19,21.43125
Ummm,35,19,19.446875
Ummm,35,16,15.875
Ummm,32,18,15.478125
Ummm,23,11,8.334375
Ummm,27,17,8.334375
Ummm,27,15,10.715625
Ummm,30,16,13.890625
Ummm,25,13,9.921875
Ummm,24,11,7.9375
Ummm,30,17,13.890625
Ummm,27,12,9.921875
Ummm,24,13,8.334375
Ummm,17,6,3.96875
KAG,83,14,185
KAG,64,10,75
KAG,122,17,245
KAG,97,16,292.5
KAG,114,21,325
KAG,98,17,302.5
KAG,68,11,145
KAG,77,13,192.5
KAG,130,21,427.5
KAG,61,8,102.5
KAG,93,14,215
KAG,125,19,437.5
KAG,130,21,542.5
KAG,101,19,365
KAG,123,22,512.5
KAG,116,19,387.5
KAG,165,27,690
KAG,137,24,545
KAG,130,23,492.5
KAG,136,20,592.5
KAG,78,12,187.5
KAG,138,21,412.5
KAG,109,16,315
KAG,118,19,395
PAC ,69,75,3240
PAC ,69,96,4536
PAC ,69,84,3519
PAC ,69,90,5292
PAC ,69,72,2556
PAC ,69,87,4140
PAC ,69,93,5130
PAC ,69,102,5661
PAC ,72,72,3474
PAC ,66,78,3402
PAC ,78,90,4545
PAC ,87,108,4914
PAC ,87,93,4275
PAC ,78,90,4419
PAC ,90,96,4950
PAC ,96,102,6642
PAC ,84,90,4437
PAC ,60,60,2646
PAC ,78,93,4437
PAC ,66,75,3168
PAC ,81,90,5166
PAC ,72,84,3528
PAC ,69,90,4716
PAC ,66,75,3582
PAC ,66,78,3555
PAC ,72,93,5157
PAC ,60,69,3204
PAC ,66,72,3456
PAC ,78,84,4599
PAC ,81,90,4752
PAC ,66,78,3636
PAC ,72,72,3420
PAC ,69,78,3834
PAC ,102,108,6507
PAC ,99,102,6390
PAC ,90,108,5913
PAC ,78,96,4464
PAC ,84,84,4194
PAC ,84,87,4545
PAC ,75,90,4140
PAC ,78,93,4572
PAC ,84,96,5490
PAC ,114,120,8280
PAC ,87,114,7236
PAC ,93,99,5310
PAC ,90,93,4617
PAC ,90,96,4932
PAC ,93,96,5787
PAC ,90,90,5328
PAC ,102,108,6894
PAC ,78,84,4077
PAC ,75,84,4122
PAC ,87,87,4725
PAC ,75,87,3726
PAC ,81,105,4680
PAC ,90,102,6165
PAC ,81,90,4617
PAC ,87,96,5616
PAC ,78,87,4518
PAC ,78,90,4257
PAC ,75,90,4239
PAC ,81,93,4968
PAC ,84,87,4572
PAC ,75,84,4383
PAC ,87,90,5409
PAC ,84,90,4608
PAC ,93,105,6507
PAC ,84,84,4608
PAC ,75,96,5103
PAC ,60,72,3168
PAC ,78,90,4338
PAC ,75,90,4581
PAC ,78,84,3960
PAC ,78,84,3960
PAC ,75,96,5040
PAC ,78,87,4671
PAC ,87,102,5670
PAC ,72,78,3600
PAC ,78,87,4671
PAC ,96,96,6210
PAC ,84,93,5364
PAC ,81,87,4761
PAC ,78,87,4554
PAC ,81,93,4473
PAC ,78,90,4707
PAC ,84,90,5580
PAC ,75,84,4374
PAC ,75,84,3528
PAC ,84,96,5724
PAC ,81,102,6228
PAC ,90,108,6336
PAC ,93,96,6480
PAC ,78,90,4968
PAC ,78,78,3933
PAC ,81,90,4554
PAC ,84,99,5283
Encilia Californica,68,26,1080
Encilia Californica,65,26,918
Encilia Californica,64,26,882
Encilia Californica,64,26,900
Encilia Californica,64,26,954
Encilia Californica,67,30,1080
Encilia Californica,65,30,936
Encilia Californica,56,30,792
Encilia Californica,29,16,297
Encilia Californica,29,15,261
Encilia Californica,31,18,324
Encilia Californica,34,17,333
Encilia Californica,56,28,774
Encilia Californica,55,28,684
Encilia Californica,55,24,693
Encilia Californica,61,24,810
Encilia Californica,75,30,1224
Encilia Californica,88,31,1305
Encilia Californica,69,27,1008
Encilia Californica,70,27,1062
Encilia Californica,47,26,751.5
Encilia Californica,45,24,675
Encilia Californica,75,43,1800
Encilia Californica,70,40,1548
Encilia Californica,60,24,846
Encilia Californica,58,25,846
Encilia Californica,65,25,936
Encilia Californica,60,19,792
Encilia Californica,40,22,522
Encilia Californica,49,22,612
Encilia Californica,51,24,684
Encilia Californica,50,22,612
Encilia Californica,56,25,774
Encilia Californica,55,25,756
Encilia Californica,56,19,504
Encilia Californica,48,23,522
Encilia Californica,55,23,756
Encilia Californica,56,25,792
Encilia Californica,51,23,603
Encilia Californica,50,23,576
Encilia Californica,50,16,396
Encilia Californica,47,12,324
Encilia Californica,54,23,657
Encilia Californica,53,20,549
Encilia Californica,51,19,504
Encilia Californica,48,17,414
Encilia Californica,42,16,387
Encilia Californica,45,23,495
Encilia Californica,20,12,198
Encilia Californica,20,10,117
Encilia Californica,25,12,180
Encilia Californica,24,13,162
Encilia Californica,50,28,522
Encilia Californica,45,29,486
Encilia Californica,66,26,945
Encilia Californica,67,22,756
Encilia Californica,41,13,288
Encilia Californica,30,11,216
Encilia Californica,46,15,360
Encilia Californica,41,12,204.12
Encilia Californica,54,19,468
Encilia Californica,42,18,297
Encilia Californica,57,15,387
Encilia Californica,57,19,585
Encilia Californica,47,16,396
Encilia Californica,52,21,450
Encilia Californica,40,14,297
Encilia Californica,35,11,234
Encilia Californica,36,11,288
Encilia Californica,32,13,216
Encilia Californica,26,13,168.12
Encilia Californica,32,15,212.4
Encilia Californica,25,9,117
Encilia Californica,27,10,144
Encilia Californica,20,5,108
Encilia Californica,23,10,135
Encilia Californica,36,12,216
Encilia Californica,33,12,225
