"County","MedianHouseholdIcome2018"
"Alameda",101744
"Alpine",55384
"Amador",58515
"Butte",50945
"Calaveras",62984
"Colusa",57249
"Contra Costa",101463
"Del Norte",48518
"El Dorado",81869
"Fresno",52318
"Glenn",47365
"Humboldt",49471
"Imperial",46633
"Inyo",53793
"Kern",51586
"Kings",58255
"Lake",45086
"Lassen",57705
"Los Angeles",67986
"Madera",53632
"Marin",122933
"Mariposa",51402
"Mendocino",51386
"Merced",56169
"Modoc",45227
"Mono",66499
"Monterey",69665
"Napa",85624
"Nevada",66681
"Orange",89373
"Placer",89175
"Plumas",55079
"Riverside",66793
"Sacramento",69475
"San Benito",80063
"San Bernardino",63310
"San Diego",78777
"San Francisco",110601
"San Joaquin",63567
"San Luis Obispo",70626
"San Mateo",122930
"Santa Barbara",75646
"Santa Clara",125933
"Santa Cruz",84213
"Shasta",53908
"Sierra",52308
"Siskiyou",47560
"Solano",82808
"Sonoma",81002
"Stanislaus",59616
"Sutter",57879
"Tehama",47572
"Trinity",40680
"Tulare",48763
"Tuolumne",56500
"Ventura",84170
"Yolo",67804
"Yuba",47504
