Date,Open,High,Low,AdjustedClose
01/02/2020,84.9,86.14,84.34,86.05
01/03/2020,88.1,90.8,87.38,88.6
01/06/2020,88.09,90.31,88,90.31
01/07/2020,92.28,94.33,90.67,93.81
01/08/2020,94.74,99.7,93.65,98.43
01/09/2020,99.42,99.76,94.57,96.27
01/10/2020,96.36,96.99,94.74,95.63
01/13/2020,98.7,105.13,98.4,104.97
01/14/2020,108.85,109.48,104.98,107.58
01/15/2020,105.95,107.57,103.36,103.7
01/16/2020,98.75,102.89,98.43,102.7
01/17/2020,101.52,103.13,100.63,102.1
01/21/2020,106.05,109.72,105.68,109.44
01/22/2020,114.38,118.9,111.82,113.91
01/23/2020,112.85,116.4,111.12,114.44
01/24/2020,114.13,114.77,110.85,112.96
01/27/2020,108.4,112.89,107.86,111.6
01/28/2020,113.7,115.36,111.62,113.38
01/29/2020,115.14,117.96,113.49,116.2
01/30/2020,126.48,130.18,123.6,128.16
01/31/2020,128,130.6,126.5,130.11
02/03/2020,134.74,157.23,134.7,156
02/04/2020,176.59,193.8,166.78,177.41
02/05/2020,164.65,169.2,140.82,146.94
02/06/2020,139.98,159.17,137.4,149.79
02/07/2020,146.11,153.95,146,149.61
02/10/2020,160,164,150.48,154.26
02/11/2020,153.76,156.7,151.6,154.88
02/12/2020,155.57,157.95,152.67,153.46
02/13/2020,148.37,163.6,147,160.8
02/14/2020,157.44,162.59,157.1,160.01
02/18/2020,168.32,172,166.47,171.68
02/19/2020,184.7,188.96,180.2,183.48
02/20/2020,182.39,182.4,171.99,179.88
02/21/2020,181.4,182.61,176.09,180.2
02/24/2020,167.8,172.7,164.44,166.76
02/25/2020,169.8,171.32,157.4,159.98
02/26/2020,156.5,162.66,155.22,155.76
02/27/2020,146,147.95,133.8,135.8
02/28/2020,125.94,138.1,122.3,133.6
03/02/2020,142.25,148.74,137.33,148.72
03/03/2020,161,161.4,143.22,149.1
03/04/2020,152.79,153.3,144.95,149.9
03/05/2020,144.75,149.15,143.61,144.91
03/06/2020,138,141.4,136.85,140.7
03/09/2020,121.08,132.6,121,121.6
03/10/2020,131.89,133.6,121.6,129.07
03/11/2020,128.04,130.72,122.6,126.85
03/12/2020,116.18,118.9,109.25,112.11
03/13/2020,119,121.51,100.4,109.32
03/16/2020,93.9,98.97,88.43,89.01
03/17/2020,88,94.37,79.2,86.04
03/18/2020,77.8,80.97,70.1,72.24
03/19/2020,74.94,90.4,71.69,85.53
03/20/2020,87.64,95.4,85.16,85.51
03/23/2020,86.72,88.4,82.1,86.86
03/24/2020,95.46,102.74,94.8,101
03/25/2020,109.05,111.4,102.22,107.85
03/26/2020,109.48,112,102.45,105.63
03/27/2020,101,105.16,98.81,102.87
03/30/2020,102.05,103.33,98.25,100.43
03/31/2020,100.25,108.59,99.4,104.8
04/01/2020,100.8,102.79,95.02,96.31
04/02/2020,96.21,98.85,89.28,90.89
04/03/2020,101.9,103.1,93.68,96
04/06/2020,102.24,104.2,99.59,103.25
04/07/2020,109,113,106.47,109.09
04/08/2020,110.84,111.44,106.67,109.77
04/09/2020,112.42,115.04,111.42,114.6
04/13/2020,118.03,130.4,116.11,130.19
04/14/2020,139.79,148.38,138.49,141.98
04/15/2020,148.4,150.63,142,145.97
04/16/2020,143.39,151.89,141.34,149.04
04/17/2020,154.46,154.99,149.53,150.78
04/20/2020,146.54,153.11,142.44,149.27
04/21/2020,146.02,150.67,134.76,137.34
04/22/2020,140.8,146.8,137.74,146.42
04/23/2020,145.52,146.8,140.63,141.13
04/24/2020,142.16,146.15,139.64,145.03
04/27/2020,147.52,159.9,147,159.75
04/28/2020,159.13,161,151.34,153.82
04/29/2020,158.03,160.64,156.63,160.1
04/30/2020,171.04,173.96,152.7,156.38
05/01/2020,151,154.55,136.61,140.26
05/04/2020,140.2,152.4,139.6,152.24
05/05/2020,157.96,159.78,152.44,153.64
05/06/2020,155.3,157.96,152.22,156.52
05/07/2020,155.44,159.28,154.47,156.01
05/08/2020,158.75,164.8,157.4,163.88
05/11/2020,158.1,164.8,157,162.26
05/12/2020,165.4,168.66,161.6,161.88
05/13/2020,164.17,165.2,152.66,158.19
05/14/2020,156,160.67,152.8,160.67
05/15/2020,158.07,161.01,157.31,159.83
05/18/2020,165.56,166.94,160.78,162.73
05/19/2020,163.03,164.41,161.22,161.6
05/20/2020,164.1,165.2,162.36,163.11
05/21/2020,163.2,166.5,159.2,165.52
05/22/2020,164.43,166.36,162.4,163.38
05/26/2020,166.9,166.92,163.14,163.77
05/27/2020,164.17,165.54,157,164.05
05/28/2020,162.7,164.95,160.34,161.16
05/29/2020,161.75,167,160.84,167
06/01/2020,171.6,179.8,170.82,179.62
06/02/2020,178.94,181.73,174.2,176.31
06/03/2020,177.62,179.59,176.02,176.59
06/04/2020,177.98,179.15,171.69,172.88
06/05/2020,175.57,177.3,173.24,177.13
06/08/2020,183.8,190,181.83,189.98
06/09/2020,188,190.89,184.79,188.13
06/10/2020,198.38,205.5,196.5,205.01
06/11/2020,198.04,203.79,194.4,194.57
06/12/2020,196,197.6,182.52,187.06
06/15/2020,183.56,199.77,181.7,198.18
06/16/2020,202.37,202.58,192.48,196.43
06/17/2020,197.54,201,196.51,198.36
06/18/2020,200.6,203.84,198.89,200.79
06/19/2020,202.56,203.19,198.27,200.18
06/22/2020,199.99,201.78,198,198.86
06/23/2020,199.78,202.4,198.8,200.36
06/24/2020,198.82,200.18,190.63,192.17
06/25/2020,190.85,197.2,187.43,197.2
06/26/2020,198.96,199,190.97,191.95
06/29/2020,193.8,202,189.7,201.87
06/30/2020,201.3,217.54,200.75,215.96
07/01/2020,216.6,227.07,216.1,223.93
07/02/2020,244.3,245.6,237.12,241.73
07/06/2020,255.34,275.56,253.21,274.32
07/07/2020,281,285.9,267.34,277.97
07/08/2020,281,283.45,262.27,273.18
07/09/2020,279.4,281.71,270.26,278.86
07/10/2020,279.2,309.78,275.2,308.93
07/13/2020,331.8,359,294.22,299.41
07/14/2020,311.2,318,286.2,303.36
07/15/2020,308.6,310,291.4,309.2
07/16/2020,295.43,306.34,293.2,300.13
07/17/2020,302.69,307.5,298,300.17
07/20/2020,303.8,330,297.6,328.6
07/21/2020,327.99,335,311.6,313.67
07/22/2020,319.8,325.28,312.4,318.47
07/23/2020,335.79,337.8,296.15,302.61
07/24/2020,283.2,293,273.31,283.4
07/27/2020,287,309.59,282.6,307.92
07/28/2020,300.8,312.94,294.88,295.3
07/29/2020,300.2,306.96,297.4,299.82
07/30/2020,297.6,302.65,294.2,297.5
07/31/2020,303,303.41,284.2,286.15
08/03/2020,289.84,301.96,288.88,297
08/04/2020,299,305.48,292.4,297.4
08/05/2020,298.6,299.97,293.66,297
08/06/2020,298.17,303.46,295.45,297.92
08/07/2020,299.91,299.95,283,290.54
08/10/2020,289.6,291.5,277.17,283.71
08/11/2020,279.2,284,273,274.88
08/12/2020,294,317,287,310.95
08/13/2020,322.2,330.24,313.45,324.2
08/14/2020,333,333.76,325.33,330.14
08/17/2020,335.4,369.17,334.57,367.13
08/18/2020,379.8,384.78,369.02,377.42
08/19/2020,373,382.2,368.24,375.71
08/20/2020,372.14,404.4,371.41,400.37
08/21/2020,408.95,419.1,405.01,410
08/24/2020,425.26,425.8,385.5,402.84
08/25/2020,394.98,405.59,393.6,404.67
08/26/2020,412,433.2,410.73,430.63
08/27/2020,436.09,459.12,428.5,447.75
08/28/2020,459.02,463.7,437.3,442.68
08/31/2020,444.61,500.14,440.11,498.32
09/01/2020,502.14,502.49,470.51,475.05
09/02/2020,478.99,479.04,405.12,447.37
09/03/2020,407.23,431.8,402,407
09/04/2020,402.81,428,372.02,418.32
09/08/2020,356,368.74,329.88,330.21
09/09/2020,356.6,369,341.51,366.28
09/10/2020,386.21,398.99,360.56,371.34
09/11/2020,381.94,382.5,360.5,372.72
09/14/2020,380.95,420,373.3,419.62
09/15/2020,436.56,461.94,430.7,449.76
09/16/2020,439.87,457.79,435.31,441.76
