age,job,marital,education,default,housing,loan,month,day_of_week,emp.var.rate,cons.price.idx,cons.conf.idx,euribor3m,subscribe
56,housemaid,married,basic.4y,no,no,no,may,mon,1.1,93.994,-36.4,4.857,no
57,services,married,high.school,unknown,no,no,may,mon,1.1,93.994,-36.4,4.857,no
37,services,married,high.school,no,yes,no,may,mon,1.1,93.994,-36.4,4.857,no
40,admin.,married,basic.6y,no,no,no,may,mon,1.1,93.994,-36.4,4.857,no
56,services,married,high.school,no,no,yes,may,mon,1.1,93.994,-36.4,4.857,no
45,services,married,basic.9y,unknown,no,no,may,mon,1.1,93.994,-36.4,4.857,no
59,admin.,married,professional.course,no,no,no,may,mon,1.1,93.994,-36.4,4.857,no
41,blue-collar,married,unknown,unknown,no,no,may,mon,1.1,93.994,-36.4,4.857,no
24,technician,single,professional.course,no,yes,no,may,mon,1.1,93.994,-36.4,4.857,no
25,services,single,high.school,no,yes,no,may,mon,1.1,93.994,-36.4,4.857,no
41,blue-collar,married,unknown,unknown,no,no,may,mon,1.1,93.994,-36.4,4.857,no
25,services,single,high.school,no,yes,no,may,mon,1.1,93.994,-36.4,4.857,no
29,blue-collar,single,high.school,no,no,yes,may,mon,1.1,93.994,-36.4,4.857,no
57,housemaid,divorced,basic.4y,no,yes,no,may,mon,1.1,93.994,-36.4,4.857,no
35,blue-collar,married,basic.6y,no,yes,no,may,mon,1.1,93.994,-36.4,4.857,no
54,retired,married,basic.9y,unknown,yes,yes,may,mon,1.1,93.994,-36.4,4.857,no
35,blue-collar,married,basic.6y,no,yes,no,may,mon,1.1,93.994,-36.4,4.857,no
46,blue-collar,married,basic.6y,unknown,yes,yes,may,mon,1.1,93.994,-36.4,4.857,no
50,blue-collar,married,basic.9y,no,yes,yes,may,mon,1.1,93.994,-36.4,4.857,no
39,management,single,basic.9y,unknown,no,no,may,mon,1.1,93.994,-36.4,4.857,no
30,unemployed,married,high.school,no,no,no,may,mon,1.1,93.994,-36.4,4.857,no
