Date,Group,Time,Age,Sex,Juvenile age,EA mins,FO mins,RE mins,SO mins,TR mins,Total mins,EA Div Total,FO Div Total,RE Div Total,SO Div Total,TR Div Total
06/15/2017,A,10:38:00 AM,JV,F,,0,0,2,1,2,5,0,0,0.4,0.2,0.4
06/15/2017,A,11:18:00 AM,AF,F ,,1,3,0,0,3,7,0.142857142857143,0.428571428571429,0,0,0.428571428571429
06/15/2017,A,11:27:00 AM,AF,F,,1,6,2,0,0,9,0.111111111111111,0.666666666666667,0.222222222222222,0,0
06/16/2017,A,11:13:00 AM,JV,F,,1,0,1,0,5,7,0.142857142857143,0,0.142857142857143,0,0.714285714285714
06/16/2017,A,11:25:00 AM,AF,F,,3,5,1,0,0,9,0.333333333333333,0.555555555555556,0.111111111111111,0,0
06/16/2017,A,11:36:00 AM,JV,F,,1,6,1,0,1,9,0.111111111111111,0.666666666666667,0.111111111111111,0,0.111111111111111
06/16/2017,A,11:45:00 AM,JV,M,,1,1,1,0,2,5,0.2,0.2,0.2,0,0.4
06/16/2017,A,11:52:00 AM,AM,M,,0,3,0,0,6,9,0,0.333333333333333,0,0,0.666666666666667
06/16/2017,A,12:15:00 PM,JV,F,,0,0,1,0,4,5,0,0,0.2,0,0.8
06/16/2017,A,12:24:00 PM,AM,M,,1,0,4,0,2,7,0.142857142857143,0,0.571428571428571,0,0.285714285714286
06/16/2017,A,12:40:00 PM,AM,M,,0,3,0,0,2,5,0,0.6,0,0,0.4
06/17/2017,A,10:26:00 AM,AM,M,,0,2,1,0,5,8,0,0.25,0.125,0,0.625
06/17/2017,A,10:36:00 AM,JV,F,,0,2,4,0,1,7,0,0.285714285714286,0.571428571428571,0,0.142857142857143
06/17/2017,A,11:31:00 AM,AF,F,,0,0,5,0,2,7,0,0,0.714285714285714,0,0.285714285714286
06/17/2017,A,11:37:00 AM,JV,M,,0,1,1,0,3,5,0,0.2,0.2,0,0.6
06/17/2017,A,12:30:00 PM,AM,M,,0,0,1,0,4,5,0,0,0.2,0,0.8
06/19/2017,A,10:58:00 AM,AM,M,,0,4,0,0,1,5,0,0.8,0,0,0.2
06/19/2017,A,11:10:00 AM,AM,M,,1,0,2,0,2,5,0.2,0,0.4,0,0.4
06/19/2017,A,11:27:00 AM,AF,F,,2,1,1,0,1,5,0.4,0.2,0.2,0,0.2
06/19/2017,A,11:48:00 AM,JV,M,,1,1,1,0,6,9,0.111111111111111,0.111111111111111,0.111111111111111,0,0.666666666666667
06/19/2017,A,12:45:00 PM,AM,M,,2,1,2,0,2,7,0.285714285714286,0.142857142857143,0.285714285714286,0,0.285714285714286
06/19/2017,A,01:09:00 PM,JV,F,,0,1,6,0,2,9,0,0.111111111111111,0.666666666666667,0,0.222222222222222
06/19/2017,A,01:20:00 PM,JV,M,,3,0,0,0,2,5,0.6,0,0,0,0.4
06/21/2017,A,10:46:00 AM,AF,F,,3,1,2,0,1,7,0.428571428571429,0.142857142857143,0.285714285714286,0,0.142857142857143
06/21/2017,A,10:54:00 AM,JV,F,,0,0,2,0,7,9,0,0,0.222222222222222,0,0.777777777777778
06/21/2017,A,10:21:00 AM,AM,M,,1,0,3,0,2,6,0.166666666666667,0,0.5,0,0.333333333333333
06/21/2017,A,12:31:00 PM,AM,M,,0,2,2,0,1,5,0,0.4,0.4,0,0.2
06/21/2017,A,12:56:00 PM,JV,F,,1,0,2,2,1,6,0.166666666666667,0,0.333333333333333,0.333333333333333,0.166666666666667
06/21/2017,A,01:07:00 PM,JV,F,,2,1,2,0,2,7,0.285714285714286,0.142857142857143,0.285714285714286,0,0.285714285714286
06/21/2017,A,01:14:00 PM,JV,M,,0,0,4,0,1,5,0,0,0.8,0,0.2
06/21/2017,A,01:40:00 PM,AF,F,,0,0,5,0,3,8,0,0,0.625,0,0.375
06/23/2017,A,10:35:00 AM,JV,M,,0,0,8,0,0,8,0,0,1,0,0
06/23/2017,A,10:42:00 AM,JV,M,,1,2,2,0,3,8,0.125,0.25,0.25,0,0.375
06/23/2017,A,10:59:00 AM,AF,F,,0,0,5,0,2,7,0,0,0.714285714285714,0,0.285714285714286
06/23/2017,A,11:17:00 AM,JV,M,,0,1,3,0,1,5,0,0.2,0.6,0,0.2
06/23/2017,A,12:07:00 PM,AM,M,,0,0,6,0,3,9,0,0,0.666666666666667,0,0.333333333333333
06/23/2017,A,12:17:00 PM,AM,M,,0,1,2,0,3,6,0,0.166666666666667,0.333333333333333,0,0.5
06/23/2017,A,01:10:00 PM,AF,F,,0,4,3,0,3,10,0,0.4,0.3,0,0.3
06/26/2017,A,10:04:00 AM,AF,F,,0,8,2,0,0,10,0,0.8,0.2,0,0
06/26/2017,A,10:19:00 AM,AF,F,,0,4,1,0,1,6,0,0.666666666666667,0.166666666666667,0,0.166666666666667
