Date ,Goup,Time,Age,Sex,Juvenile age,AL mins,AF mins,AM mins,JV mins,Total mins,AL Div Total,AF Div Total,AM Div Total,JV Div Total
06/15/2017,A,10:38:00 AM,JV,F,,1,0,0,4,5,0.2,0,0,0.8
06/15/2017,A,11:18:00 AM,AF,F ,,2,1,0,4,7,0.285714285714286,0.142857142857143,0,0.571428571428571
06/15/2017,A,11:27:00 AM,AF,F,,3,4,0,1,9,0.333333333333333,0.444444444444444,0,0.111111111111111
06/16/2017,A,11:13:00 AM,JV,F,,1,1,0,5,7,0.142857142857143,0.142857142857143,0,0.714285714285714
06/16/2017,A,11:25:00 AM,AF,F,,0,2,6,1,9,0,0.222222222222222,0.666666666666667,0.111111111111111
06/16/2017,A,11:36:00 AM,JV,F,,1,0,3,5,9,0.111111111111111,0,0.333333333333333,0.555555555555556
06/16/2017,A,11:45:00 AM,JV,M,,1,0,1,3,5,0.2,0,0.2,0.6
06/16/2017,A,11:52:00 AM,AM,M,,1,3,0,3,9,0.111111111111111,0.333333333333333,0,0.333333333333333
06/16/2017,A,12:15:00 PM,JV,F,,0,1,0,2,5,0,0.2,0,0.4
06/16/2017,A,12:24:00 PM,AM,M,,0,3,2,2,7,0,0.428571428571429,0.285714285714286,0.285714285714286
06/16/2017,A,12:40:00 PM,AM,M,,1,0,3,1,5,0.2,0,0.6,0.2
06/17/2017,A,10:26:00 AM,AM,M,,5,0,3,0,8,0.625,0,0.375,0
06/17/2017,A,10:36:00 AM,JV,F,,4,1,0,2,7,0.571428571428571,0.142857142857143,0,0.285714285714286
06/17/2017,A,11:31:00 AM,AF,F,,2,3,0,2,7,0.285714285714286,0.428571428571429,0,0.285714285714286
06/17/2017,A,11:37:00 AM,JV,M,,0,0,0,5,5,0,0,0,1
06/17/2017,A,12:30:00 PM,AM,M,,4,0,0,0,5,0.8,0,0,0
06/19/2017,A,10:58:00 AM,AM,M,,0,1,1,2,5,0,0.2,0.2,0.4
06/19/2017,A,11:10:00 AM,AM,M,,4,0,1,0,5,0.8,0,0.2,0
06/19/2017,A,11:27:00 AM,AF,F,,0,4,0,1,5,0,0.8,0,0.2
06/19/2017,A,11:48:00 AM,JV,M,,3,2,0,3,9,0.333333333333333,0.222222222222222,0,0.333333333333333
06/19/2017,A,12:45:00 PM,AM,M,,2,4,1,0,7,0.285714285714286,0.571428571428571,0.142857142857143,0
06/19/2017,A,01:09:00 PM,JV,F,,2,0,1,4,9,0.222222222222222,0,0.111111111111111,0.444444444444444
06/19/2017,A,01:20:00 PM,JV,M,,1,0,0,4,5,0.2,0,0,0.8
