"crab","treatment","carap_width","claw_len","claw_width","claw_hgt","sex","refuge_use_1","activity_1","refuge_use_2","activity_2","days_in_field","tide_1","tide_2","date_recapture"
"123","c","23.6","15.3","5.5","9.2","m","0.53","0.47","0.57","0.47","28","-0.571","0.137","2012-06-21"
"134","c","27","16.2","6.4","11.3","m","0.90","0.10","0.80","0.20","24","0.735","0.137","2012-06-21"
"137","nc","29.2","19.6","7.5","13.2","m","0.52","0.52","0.17","0.83","24","0.455","0.019","2012-06-21"
"139","nc","28","18.8","6.2","10.5","m","0.52","0.48","0.67","0.33","23","0.455","0.347","2012-06-19"
"140","c","26.4","18.1","6.2","10.8","m","0.62","0.52","0.47","0.53","23","0.455","0.347","2012-06-19"
"144","c","28.4","21","7","12.8","m","0.93","0.07","0.90","0.10","23","0.455","0.347","2012-06-19"
"160","c","26.1","18.3","6","10.7","m","0.53","0.50","0.40","0.63","23","1.206","-0.145","2012-06-22"
"166","c","30.1","22.7","7.6","13.6","m","0.50","0.50","0.57","0.40","18","0.646","0.019","2012-06-19"
"169","nc","26.8","18.6","6","10.7","m","0.87","0.13","0.57","0.43","17","0.646","0.347","2012-06-21"
"173","nc","27.3","17.8","6","10","m","0.33","0.67","0.70","0.33","22","1.104","-0.438","2012-06-25"
"174","c","30","22.3","8","13.9","m","0.57","0.43","0.23","0.80","19","1.104","0.019","2012-06-19"
"180","c","27.2","18.9","6.1","11","m","0.43","0.53","0.33","0.67","18","0.043","-0.145","2012-06-22"
"187","nc","29.1","20.3","7","12.3","m","0.13","0.87","0.20","0.80","17","0.619","0.381","2012-08-02"
"188","c","20.4","13.9","4.5","7.9","m","0.80","0.20","0.93","0.07","19","0.286","-0.145","2012-06-22"
"192","c","29.2","20.4","7","12.2","m","0.30","0.70","0.67","0.33","17","0.286","0.019","2012-06-21"
"196","c","21","14.2","4.8","8.4","m","0.93","0.07","1.00","0.00","16","-0.381","-0.145","2012-06-22"
"202","c","24.9","16.6","5.6","9.9","m","0.63","0.37","0.83","0.13","14","-0.381","0.019","2012-06-21"
"208","c","30.1","22.4","7.7","13.4","m","0.73","0.27","0.57","0.43","16","-0.237","0.137","2012-06-19"
"211","nc","31.2","22.1","7.1","12","m","0.87","0.13","0.43","0.57","12","-0.108","0.019","2012-06-19"
"213","nc","28.6","20.6","7.1","12.5","m","0.63","0.37","0.53","0.47","12","-0.108","0.019","2012-06-19"
"230","c","30.3","23","8.2","14.5","m","0.30","0.73","0.40","0.60","11","0.69","0.137","2012-06-19"
"236","c","23","14.9","4.9","8.5","m","0.83","0.17","0.97","0.00","14","0.346","-0.438","2012-06-25"
