ID_Number,Strain,Sex,Experiment,Volatile_Location,Final_Direction,Time,Date,Replicate
23,APULIA,F,WIND_TUNNEL,CONTROL,Right,31,4/24/2017,1
24,APULIA,M,WIND_TUNNEL,CONTROL,Top,42,4/24/2017,1
33,APULIA,F,WIND_TUNNEL,PHEROMONE,Top,24,4/24/2017,1
34,APULIA,M,WIND_TUNNEL,PHEROMONE,Right,65,4/24/2017,1
69,APULIA,F,WIND_TUNNEL,OIL,Top,127,4/24/2017,1
70,APULIA,M,WIND_TUNNEL,OIL,Top,29,4/24/2017,1
1,APULIA,F,WIND_TUNNEL,CONTROL,Right,41,5/18/2017,10
2,APULIA,M,WIND_TUNNEL,CONTROL,Top,114,5/18/2017,10
39,APULIA,F,WIND_TUNNEL,OIL,Top,91,5/18/2017,10
40,APULIA,M,WIND_TUNNEL,OIL,Top,24,5/18/2017,10
59,APULIA,F,WIND_TUNNEL,PHEROMONE,Top,29,5/18/2017,10
60,APULIA,M,WIND_TUNNEL,PHEROMONE,Top,56,5/18/2017,10
15,APULIA,F,WIND_TUNNEL,CONTROL,Right,38,4/25/2017,2
16,APULIA,M,WIND_TUNNEL,CONTROL,Top,28,4/25/2017,2
27,APULIA,F,WIND_TUNNEL,OIL,Top,20,4/25/2017,2
28,APULIA,M,WIND_TUNNEL,OIL,Top,30,4/25/2017,2
65,APULIA,F,WIND_TUNNEL,PHEROMONE,Top,52,4/25/2017,2
66,APULIA,M,WIND_TUNNEL,PHEROMONE,Right,16,4/25/2017,2
19,APULIA,F,WIND_TUNNEL,CONTROL,Top,48,4/26/2017,3
20,APULIA,M,WIND_TUNNEL,CONTROL,Right,15,4/26/2017,3
33,APULIA,F,WIND_TUNNEL,PHEROMONE,Top,39,4/26/2017,3
34,APULIA,M,WIND_TUNNEL,PHEROMONE,Top,43,4/26/2017,3
59,APULIA,F,WIND_TUNNEL,OIL,Top,34,4/27/2017,3
60,APULIA,M,WIND_TUNNEL,OIL,Top,27,4/27/2017,3
3,APULIA,F,WIND_TUNNEL,CONTROL,Right,101,4/27/2017,4
4,APULIA,M,WIND_TUNNEL,CONTROL,Top,106,4/27/2017,4
29,APULIA,F,WIND_TUNNEL,PHEROMONE,Top,54,4/27/2017,4
30,APULIA,M,WIND_TUNNEL,PHEROMONE,Top,47,4/27/2017,4
63,APULIA,F,WIND_TUNNEL,OIL,Bottom,176,4/27/2017,4
64,APULIA,M,WIND_TUNNEL,OIL,Top,34,4/27/2017,4
7,APULIA,F,WIND_TUNNEL,CONTROL,Top,37,5/1/2017,5
8,APULIA,M,WIND_TUNNEL,CONTROL,Right,83,5/1/2017,5
29,APULIA,F,WIND_TUNNEL,OIL,Top,99,5/1/2017,5
30,APULIA,M,WIND_TUNNEL,OIL,Top,171,5/1/2017,5
61,APULIA,F,WIND_TUNNEL,PHEROMONE,Top,58,5/1/2017,5
62,APULIA,M,WIND_TUNNEL,PHEROMONE,Top,75,5/1/2017,5
5,APULIA,F,WIND_TUNNEL,CONTROL,Top,24,5/11/2017,6
6,APULIA,M,WIND_TUNNEL,CONTROL,Top,42,5/11/2017,6
31,APULIA,F,WIND_TUNNEL,OIL,Top,51,5/11/2017,6
32,APULIA,M,WIND_TUNNEL,OIL,Top,22,5/11/2017,6
69,APULIA,F,WIND_TUNNEL,PHEROMONE,Top,62,5/11/2017,6
70,APULIA,M,WIND_TUNNEL,PHEROMONE,Top,31,5/11/2017,6
21,APULIA,F,WIND_TUNNEL,CONTROL,Top,116,5/12/2017,7
22,APULIA,M,WIND_TUNNEL,CONTROL,Top,37,5/12/2017,7
41,APULIA,F,WIND_TUNNEL,OIL,Top,32,5/12/2017,7
42,APULIA,M,WIND_TUNNEL,OIL,Top,46,5/12/2017,7
53,APULIA,F,WIND_TUNNEL,PHEROMONE,Top,45,5/12/2017,7
54,APULIA,M,WIND_TUNNEL,PHEROMONE,Top,27,5/12/2017,7
7,APULIA,F,WIND_TUNNEL,CONTROL,Top,79,5/15/2017,8
8,APULIA,M,WIND_TUNNEL,CONTROL,Top,33,5/15/2017,8
29,APULIA,F,WIND_TUNNEL,PHEROMONE,Top,28,5/15/2017,8
30,APULIA,M,WIND_TUNNEL,PHEROMONE,Top,53,5/15/2017,8
61,APULIA,F,WIND_TUNNEL,OIL,Top,41,5/15/2017,8
62,APULIA,M,WIND_TUNNEL,OIL,Top,148,5/15/2017,8
15,APULIA,F,WIND_TUNNEL,CONTROL,Top,25,5/17/2017,9
16,APULIA,M,WIND_TUNNEL,CONTROL,Top,152,5/17/2017,9
33,APULIA,F,WIND_TUNNEL,OIL,Top,35,5/17/2017,9
34,APULIA,M,WIND_TUNNEL,OIL,Top,195,5/17/2017,9
