Province/State,Country/Region,Date,ConfirmedCases
Alberta,Canada,2020-04-12,1567
Alberta,Canada,2020-04-11,1567
Alberta,Canada,2020-04-10,1451
Alberta,Canada,2020-04-09,1423
Alberta,Canada,2020-04-08,1373
Alberta,Canada,2020-04-07,1373
Alberta,Canada,2020-04-06,1250
Alberta,Canada,2020-04-05,1181
Alberta,Canada,2020-04-04,1075
Alberta,Canada,2020-04-03,969
Alberta,Canada,2020-04-02,969
Alberta,Canada,2020-04-01,754
Alberta,Canada,2020-03-31,690
Alberta,Canada,2020-03-30,661
Alberta,Canada,2020-03-29,621
Alberta,Canada,2020-03-28,542
Alberta,Canada,2020-03-27,542
Alberta,Canada,2020-03-26,486
Alberta,Canada,2020-03-25,358
Alberta,Canada,2020-03-24,359
Alberta,Canada,2020-03-23,301
Alberta,Canada,2020-03-22,259
Alberta,Canada,2020-03-21,195
Alberta,Canada,2020-03-20,146
Alberta,Canada,2020-03-19,119
Alberta,Canada,2020-03-18,97
Alberta,Canada,2020-03-17,74
Alberta,Canada,2020-03-16,56
Alberta,Canada,2020-03-15,39
Alberta,Canada,2020-03-14,29
Alberta,Canada,2020-03-13,29
Alberta,Canada,2020-03-12,19
Alberta,Canada,2020-03-11,19
Alberta,Canada,2020-03-10,7
Alberta,Canada,2020-03-09,7
Alberta,Canada,2020-03-08,4
Alberta,Canada,2020-03-07,2
Alberta,Canada,2020-03-06,1
Alberta,Canada,2020-03-05,0
Alberta,Canada,2020-03-04,0
Alberta,Canada,2020-03-03,0
Alberta,Canada,2020-03-02,0
Alberta,Canada,2020-03-01,0
Alberta,Canada,2020-02-29,0
Alberta,Canada,2020-02-28,0
Alberta,Canada,2020-02-27,0
Alberta,Canada,2020-02-26,0
Alberta,Canada,2020-02-25,0
Alberta,Canada,2020-02-24,0
Alberta,Canada,2020-02-23,0
Alberta,Canada,2020-02-22,0
Alberta,Canada,2020-02-21,0
Alberta,Canada,2020-02-20,0
Alberta,Canada,2020-02-19,0
Alberta,Canada,2020-02-18,0
Alberta,Canada,2020-02-17,0
Alberta,Canada,2020-02-16,0
Alberta,Canada,2020-02-15,0
Alberta,Canada,2020-02-14,0
Alberta,Canada,2020-02-13,0
Alberta,Canada,2020-02-12,0
Alberta,Canada,2020-02-11,0
Alberta,Canada,2020-02-10,0
Alberta,Canada,2020-02-09,0
Alberta,Canada,2020-02-08,0
Alberta,Canada,2020-02-07,0
Alberta,Canada,2020-02-06,0
Alberta,Canada,2020-02-05,0
Alberta,Canada,2020-02-04,0
Alberta,Canada,2020-02-03,0
Alberta,Canada,2020-02-02,0
Alberta,Canada,2020-02-01,0
Alberta,Canada,2020-01-31,0
Alberta,Canada,2020-01-30,0
Alberta,Canada,2020-01-29,0
Alberta,Canada,2020-01-28,0
Alberta,Canada,2020-01-27,0
Alberta,Canada,2020-01-26,0
Alberta,Canada,2020-01-25,0
Alberta,Canada,2020-01-24,0
Alberta,Canada,2020-01-23,0
Alberta,Canada,2020-01-22,0
British Columbia,Canada,2020-04-12,1445
British Columbia,Canada,2020-04-11,1445
British Columbia,Canada,2020-04-10,1370
British Columbia,Canada,2020-04-09,1336
British Columbia,Canada,2020-04-08,1291
